prov;tahun;apbd;kemiskinan;gini;share_pdrb;pdrb;pma_proyek;pma_inves;IPM;kesehatan;pendidikan;persos;belanja_total
Sulawesi Utara;2015;4722,8;8,65;0,368;0,007863512;70425;207.0;3,666666667;70,39;8,01975E+11;2,80388E+12;1,43783E+11;3,74964E+12
Sulawesi Utara;2016;5733,2;8,34;0,386;0,008005377;74765;209.0;15,92222222;71,05;1,13482E+12;2,83133E+12;4,21137E+11;4,38728E+12
Sulawesi Utara;2017;6272,2;8,1;0,396;0,008058609;79484;167.0;20,08958333;71,66;1,23353E+12;2,20036E+12;2,14147E+11;3,64803E+12
Sumatera Barat;2015;8978,4;7,31;0,342;0,015525196;140719;127.0;2,375694444;69,98;1,79478E+12;6,66149E+12;2,11767E+11;8,66804E+12
Sumatera Barat;2016;15605,6;7,09;0,331;0,015618226;148134;198.0;3,29375;70,73;2,93318E+12;9,99295E+12;3,1069E+11;1,32368E+13
Sumatera Barat;2017;15029,8;6,87;0,318;0,015653243;155984;146.0;8,086111111;71,24;3,04741E+12;6,95069E+12;4,00232E+11;1,03983E+13
Sumatera Selatan;2015;10743,5;8,86;0,361;0,028622789;254045;135.0;26,88055556;67,46;2,25167E+12;6,52317E+12;2,53921E+11;9,02876E+12
Sumatera Selatan;2016;11646,3;13,54;0,348;0,028183566;266857;251.0;116,3784722;68,24;2,76504E+12;6,83895E+12;2,86985E+11;9,89097E+12
Sumatera Selatan;2017;12373;8,19;0,361;0,028020505;281571;261.0;49,25625;68,86;2,81894E+12;5,97934E+12;3,02155E+11;9,10044E+12
Sumatera Utara;2015;16971,6;10,53;0,336;0,049324804;440956;438.0;51,91736111;69,51;3,03045E+12;9,99325E+12;3,07173E+11;1,33309E+13
Sumatera Utara;2016;18731,6;10,35;0,319;0,049862482;463775;688.0;42,25486111;70;3,4906E+12;9,04466E+12;3,18365E+11;1,28536E+13
Sumatera Utara;2017;20021,2;10,22;0,315;0,050103209;487531;564.0;63,08958333;70,57;4,10345E+12;8,37799E+12;3,83531E+11;1,2865E+13
